Sprite Room,Monster Room,Same Room,Distance To Char,Distance To Room Center,Killed,Action Choice
0,5,0,493.364,485.98,0,1
0,5,0,257.738,317.906,0,1
2,5,0,348.112,291.518,0,1
0,5,0,382.109,321.887,0,1
0,5,0,505.897,483.917,0,1
0,5,0,300.605,406.659,0,1
0,5,0,337.347,449.737,0,1
0,5,0,462.931,435.642,0,1
5,5,1,78.3047,120.075,0,1
0,5,0,381.613,321.652,0,1
0,5,0,373.804,358.041,0,1
0,5,0,304.752,335.953,0,1
2,5,0,208.171,100.392,0,1
0,5,0,461.719,445.279,0,1
0,5,0,377.27,336.025,0,1
0,5,0,338.68,327.604,0,1
0,5,0,343.629,393.158,0,1
0,5,0,256.931,323.797,0,1
0,5,0,282.658,384.018,0,1
0,5,0,259.769,316.224,0,1
0,5,0,298.727,405.751,0,1
0,5,0,258.497,314.275,0,1
0,5,0,308.769,335.995,0,1
4,5,0,231.923,310.814,0,1
0,5,0,462.188,477.589,0,1
0,5,0,255.762,321.704,0,1
2,5,0,233.109,268.938,0,1
0,5,0,320.866,425.808,0,1
0,5,0,425.961,411.325,0,1
0,5,0,278.802,321.234,0,1
4,5,0,245.099,274.114,0,1
0,5,0,468.428,444.148,0,1
0,5,0,296.241,383.273,0,1
0,5,0,256.434,359.46,0,1
0,5,0,358.096,353.005,0,1
1,5,0,200.388,251.14,0,1
0,5,0,419.065,447.356,0,1
0,5,0,421.026,440.708,0,1
4,5,0,283.817,308.619,0,1
0,5,0,450.019,443.931,0,1
0,5,0,319.758,337.119,0,1
5,5,1,218.599,44.2357,0,1
0,5,0,382.942,346.911,0,1
2,5,0,264.416,251.99,0,1
0,5,0,420.349,446.812,0,1
0,5,0,309.896,326.044,0,1
0,5,0,355.153,350.353,0,1
0,5,0,419.688,361.327,0,1
0,5,0,501.244,479.738,0,1
2,5,0,319.972,244.204,0,1
0,5,0,264.158,305.557,0,1
0,5,0,329.883,386.076,0,1
0,5,0,519.598,481.966,0,1
0,5,0,229.406,323.703,0,1
0,5,0,417.075,319.07,0,1
0,5,0,260.069,365.381,0,1
0,5,0,329.038,343.123,0,1
0,5,0,329.147,387.11,0,1
0,5,0,273.585,321.328,0,1
1,5,0,279.527,336.745,0,1
0,5,0,259.63,364.967,0,1
0,5,0,320.111,418.281,0,1
0,5,0,235.83,332.454,0,1
0,5,0,463.54,415.072,0,1
0,5,0,395.928,327.905,0,1
0,5,0,259.407,320.94,0,1
0,5,0,354.255,418.082,0,1
0,5,0,476.79,446.222,0,1
0,5,0,349.334,440.918,0,1
5,5,1,204.118,99.759,0,1
0,5,0,268.721,316.564,0,1
0,5,0,357.815,350.098,0,1
5,5,1,90.7736,121.42,0,1
2,5,0,217.412,255.488,0,1
0,5,0,260.062,306.421,0,1
